year;ROA_;Z_A_
2008;0.005350000000000001;0.17466631670247057
2009;0.0036;0.1812021583636592
2010;0.0031;0.1847301635360746
2011;0.004;0.17462491734443392
2012;0.003;0.1963577375901463
2013;0.0022;0.20316114109483424
2014;0.0014;0.19452591788876833
2015;0.0014;0.19131626652518016
2016;0.0011;0.19011732986897215
2017;0.0007;0.18507570647633947
2018;0.0008;0.18568931075160147
2019;0.0011;0.19435279203456574
2020;0.0029414202587274042;0.2095695335135261
2021;0.005939881064568645;0.19139316534116768
2022;0.004892123826540336;0.1875339785792168
2023;0.006084011098150403;0.1878722266579662
2024;0.005348103863012441;0.18766709187629751
2025;0.00547693751951322;0.18766709187629751
