;inn;year;capital;Cancel_date;ROA;Z_A
9920;0104014512;2014;10000.0;;-0.0426;0.7978723404255319
61905;0104014512;2015;10000.0;;0.0041;0.9607390300230947
70569;0104014512;2016;10000.0;;0.0015;0.2556512378902045
79233;0104014512;2017;40000000.0;;0.0523;0.19069116561712243
87897;0104014512;2018;40000000.0;;0.0011;0.17839088772373893
96561;0104014512;2019;2495000.0;;0.0006;0.08238291035547053
17504;0105003792;2008;12651000.0;;0.0118;0.0502601516476271
26168;0105003792;2009;12651000.0;;-0.0111;0.09757189522614593
34832;0105003792;2010;12651000.0;;0.0135;0.14508877736071865
43496;0105003792;2011;14638000.0;;0.0286;0.06835604310177287
52160;0105003792;2012;14638000.0;;0.0602;0.11719498501066251
176;0105003792;2013;14638000.0;;0.016;0.5401641232679839
8840;0105003792;2014;14638000.0;;0.0098;0.286052189836716
60824;0105003792;2015;14638000.0;;0.0065;0.31334151650131603
69488;0105003792;2016;14638000.0;;0.0036;0.2385906891837687
78152;0105003792;2017;14638000.0;;0.011;0.034157122764717704
86816;0105003792;2018;14638000.0;;0.0071;0.008154439775681376
95480;0105003792;2019;13716000.0;;0.0036;0.002621824671531668
3897;0105008695;2013;;;0.1203;0.12281558871058665
12561;0105008695;2014;;;-0.397;0.18963006117098746
64545;0105008695;2015;;;0.0139;0.174184007605366
73209;0105008695;2016;;;-0.0925;0.21148036253776434
81873;0105008695;2017;;;-0.1401;0.010227075749696654
90537;0105008695;2018;;;0.0002;0.3338693977739219
99201;0105008695;2019;10000000.0;;0.011;0.04481178092444689
24051;0105023051;2008;10000.0;;-0.0278;0.40074425198245694
32715;0105023051;2009;10000.0;;-0.0138;0.4568057524812639
41379;0105023051;2010;10000.0;;-0.0025;0.3895325249064599
50043;0105023051;2011;10000.0;;0.0005;0.11846254367773643
58707;0105023051;2012;10000.0;;0.0008;0.1394723704926846
6723;0105023051;2013;10000.0;;0.0008;0.08199474443324838
15387;0105023051;2014;10000.0;;0.0001;0.31194060786493566
67372;0105023051;2015;10000.0;;0.0003;0.0882528724825905
56883;0105043900;2012;2063000.0;;0.1189;0.7803157781676273
4899;0105043900;2013;2063000.0;;0.0039;0.3141600959267469
13563;0105043900;2014;2063000.0;;0.0055;0.1901302513300312
65546;0105043900;2015;2063000.0;;0.0092;0.11863185320694052
74210;0105043900;2016;2063000.0;;0.0016;0.12052883916896702
82874;0105043900;2017;2063000.0;;0.022;0.07855539971949509
91538;0105043900;2018;2063000.0;;0.0342;0.06475159213154158
100202;0105043900;2019;2063000.0;;0.0408;0.030845349796073014
60172;0105048458;2012;20000.0;;0.0179;0.583606883517358
8188;0105048458;2013;20000.0;;0.0064;0.02704736258514177
16852;0105048458;2014;20000.0;;0.0005;0.23968774276673552
68836;0105048458;2015;20000.0;;0.0017;0.16084909117560833
77500;0105048458;2016;20000.0;;0.101;0.020605682172962846
86164;0105048458;2017;20000.0;;0.0027;0.09910588235294118
24515;0106003308;2008;20000.0;;-0.0536;0.6237265461530546
33179;0106003308;2009;20000.0;;0.0151;0.5161433855224005
41843;0106003308;2010;20000.0;;0.0079;0.7706266017271325
50507;0106003308;2011;20000.0;;-0.0839;0.04667796343001261
59171;0106003308;2012;20000.0;;-0.034;0.2527430432046406
7187;0106003308;2013;20000.0;;-0.027;0.676755917733799
15851;0106003308;2014;20000.0;;-0.227;0.9234731654498698
67834;0106003308;2015;20000.0;;-0.0037;1.0273531777956557
20234;0106003795;2008;17000000.0;;-0.0034;0.33043304330433043
28898;0106003795;2009;32000000.0;;0.0013;0.3474875672269853
37562;0106003795;2010;32000000.0;;0.0006;0.4398776663297307
46226;0106003795;2011;32000000.0;;0.0017;0.44993398984520516
54890;0106003795;2012;32000000.0;;0.0024;0.3661457979994422
2906;0106003795;2013;32000000.0;;0.0003;0.20862481917996634
11570;0106003795;2014;32000000.0;;-0.0003;0.09613892527302004
63554;0106003795;2015;32000000.0;;-0.0322;0.18671192880206153
72218;0106003795;2016;32000000.0;;-0.0221;0.60216675420387
80882;0106003795;2017;32000000.0;;0.0025;0.25730726674088
89546;0106003795;2018;32000000.0;;0.0025;0.37445151903421475
98210;0106003795;2019;32000000.0;;-0.0028;0.24655941027368844
13804;0106008264;2014;7000000.0;;0.0005;0.18192895650247395
65787;0106008264;2015;7000000.0;;0.0041;0.01990643973325371
69802;0107008891;2016;;;-0.0831;0.43825340843291044
78466;0107008891;2017;;;0.0653;0.41086562026453144
87130;0107008891;2018;10000.0;;-0.0955;0.5716381710932119
95794;0107008891;2019;10000.0;;0.0224;0.0733426731846906
24102;0107010234;2008;10000.0;;0.3033;0.1876996805111821
6774;0107010234;2013;10000.0;;0.2307;0.23149686478375048
15438;0107010234;2014;10000.0;;0.2228;0.18456956507270972
67421;0107010234;2015;10000.0;;0.1641;0.23953163175930053
76085;0107010234;2016;10000.0;;0.2034;0.16796381107583377
